REGISTRO,CUESTIONARIO,GENERO,GRUPO DE EDAD,Acepta contestar la encuesta?, ¿En qué municipio vive?, ¿Que tan seguro considera es vivir en SU MUNICIPIO?,¿Qué tan seguro considera que es vivir en EL ESTADO?,¿Qué tan seguro considera que es vivir en EL PAIS?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en SU MUNICIPIO...?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en EL ESTADO...?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en EL PAIS...?,"En este momento, ¿Cuánta confianza le tiene a Tránsito de su Municipio?","En este momento, ¿Cuánta confianza le tiene a La Policía de su Municipio?","En este momento, ¿Cuánta confianza le tiene a La Fuerza Civil?","En este momento, ¿Cuánta confianza le tiene a La Policía Federal?","En este momento, ¿Cuánta confianza le tiene a El Ejército?","En este momento, ¿Cuánta confianza le tiene a La Marina?",¿En alguna ocasión los elementos de Tránsito de su Municipio le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Policía de su Municipio le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Fuerza Civil le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Policía Federal le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de El Ejército le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Marina le han pedido a usted algún soborno?,¿Qué tan comprometido considera que está el ALCALDE ACTUAL DE SU MUNICIPIO en resolver el problema de inseguridad?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad  EN LOS PRÓXIMOS TRES MESES en SU MUNICIPIO…,¿Qué tan comprometido considera que está el GOBERNADOR DEL ESTADO en resolver el problema de inseguridad en el Estado?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad EN LOS PRÓXIMOS TRES MESES en EL ESTADO…,¿Qué tan comprometido considera que está el PRESIDENTE DE LA REPÚBLICA en resolver el problema de inseguridad en el País?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad EN LOS PRÓXIMOS TRES MESES en EL PAIS…
1927,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,San Nicolás,SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
1928,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,San Pedro Garza García,SEGURO,SEGURO,SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,,,,,,,,,,,,,
1929,ASCENDENTE,Masculino,18-29 años,CONTINUAR ENTREVISTA,San Pedro Garza García,SEGURO,POCO SEGURO,SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A BAJAR?
1930,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,San Nicolás,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
1931,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,San Pedro Garza García,SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A AUMENTAR?,COMPROMETIDO,VA A AUMENTAR?
1932,ASCENDENTE,Masculino,30-39 años,CONTINUAR ENTREVISTA,Escobedo,SEGURO,SEGURO,SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,No sabe,Dice no conocer  las acciones,UN POCO COMPROMETIDO,VA A BAJAR?,NADA COMPROMETIDO,VA A AUMENTAR?
1933,ASCENDENTE,Femenino,50-59 años,CONTINUAR ENTREVISTA,San Pedro Garza García,SEGURO,POCO SEGURO,INSEGURO,HA AUMENTADO?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
1934,ASCENDENTE,Masculino,18-29 años,CONTINUAR ENTREVISTA,San Pedro Garza García,SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A BAJAR?
1935,ASCENDENTE,Masculino,60 años o más,CONTINUAR ENTREVISTA,García,SEGURO,POCO SEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,No sabe,MUCHA CONFIANZA,MUCHA CONFIANZA,No sabe,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
1936,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Escobedo,SEGURO,SEGURO,POCO SEGURO,HA BAJADO?,HA AUMENTADO?,HA AUMENTADO?,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?
1937,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Escobedo,SEGURO,SEGURO,SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?
1938,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,Escobedo,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,SI,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
1939,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Escobedo,SEGURO,SEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,No sabe,NADA DE CONFIANZA,NADA DE CONFIANZA,No sabe,No sabe,No sabe,No sabe,SI,SI,NO,NO,NO,NO,No sabe,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
1940,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,San Pedro Garza García,SEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,NO,NO,NO,NO,NO,NO,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
1941,ASCENDENTE,Masculino,60 años o más,CONTINUAR ENTREVISTA,San Pedro Garza García,POCO SEGURO,INSEGURO,INSEGURO,HA AUMENTADO?,HA AUMENTADO?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,SI,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A AUMENTAR?,UN POCO COMPROMETIDO,VA A AUMENTAR?,UN POCO COMPROMETIDO,VA A AUMENTAR?
1942,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,Escobedo,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
1943,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,Monterrey,POCO SEGURO,INSEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
1944,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,Santa Catarina,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A AUMENTAR?
1945,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Escobedo,POCO SEGURO,POCO SEGURO,INSEGURO,SIGUE IGUAL?,HA AUMENTADO?,HA AUMENTADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,SI,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A AUMENTAR?,UN POCO COMPROMETIDO,VA A AUMENTAR?
1946,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,García,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
1947,ASCENDENTE,Masculino,40-49 años,CONTINUAR ENTREVISTA,Escobedo,POCO SEGURO,POCO SEGURO,INSEGURO,SIGUE IGUAL?,HA AUMENTADO?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,No contestó,MUCHA CONFIANZA,,SI,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
1948,ASCENDENTE,Masculino,18-29 años,CONTINUAR ENTREVISTA,Escobedo,SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,HA AUMENTADO?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
1949,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,Escobedo,POCO SEGURO,INSEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?
1950,ASCENDENTE,Masculino,30-39 años,CONTINUAR ENTREVISTA,García,SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?
1951,ASCENDENTE,Masculino,30-39 años,CONTINUAR ENTREVISTA,Monterrey,POCO SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,No sabe,No sabe,ALGO DE CONFIANZA,ALGO DE CONFIANZA,SI,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
1952,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Escobedo,SEGURO,POCO SEGURO,INSEGURO,SIGUE IGUAL?,HA AUMENTADO?,SIGUE IGUAL?,ALGO DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
1953,ASCENDENTE,Masculino,30-39 años,CONTINUAR ENTREVISTA,Guadalupe,SEGURO,POCO SEGURO,INSEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
1954,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,San Pedro Garza García,POCO SEGURO,INSEGURO,INSEGURO,HA AUMENTADO?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
1955,ASCENDENTE,Femenino,50-59 años,CONTINUAR ENTREVISTA,Escobedo,INSEGURO,INSEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
1956,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,San Pedro Garza García,SEGURO,INSEGURO,INSEGURO,HA AUMENTADO?,HA AUMENTADO?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
1957,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,San Pedro Garza García,SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,MUCHA CONFIANZA,MUCHA CONFIANZA,No sabe,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A SEGUIR IGUAL?
1958,ASCENDENTE,Masculino,18-29 años,CONTINUAR ENTREVISTA,Monterrey,INSEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,HA BAJADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,SI,SI,NO,SI,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
1959,ASCENDENTE,Masculino,40-49 años,CONTINUAR ENTREVISTA,Monterrey,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA AUMENTADO?,SIGUE IGUAL?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
1960,ASCENDENTE,Masculino,18-29 años,CONTINUAR ENTREVISTA,Monterrey,SEGURO,SEGURO,SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
1961,ASCENDENTE,Femenino,50-59 años,CONTINUAR ENTREVISTA,Escobedo,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,No sabe,No sabe,No sabe,VA A BAJAR?,COMPROMETIDO,No sabe
1962,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,San Nicolás,SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,SIGUE IGUAL?,MUCHA CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
1963,ASCENDENTE,Femenino,50-59 años,CONTINUAR ENTREVISTA,San Pedro Garza García,SEGURO,SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA AUMENTADO?,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
1964,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,San Pedro Garza García,SEGURO,INSEGURO,INSEGURO,HA AUMENTADO?,HA AUMENTADO?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A AUMENTAR?
1965,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Escobedo,SEGURO,SEGURO,SEGURO,HA AUMENTADO?,HA AUMENTADO?,No sabe,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,,NO,No sabe,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
1966,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,San Pedro Garza García,SEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,HA AUMENTADO?,HA AUMENTADO?,NADA DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A AUMENTAR?,UN POCO COMPROMETIDO,VA A AUMENTAR?
1967,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Monterrey,POCO SEGURO,SEGURO,POCO SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
1968,ASCENDENTE,Femenino,50-59 años,CONTINUAR ENTREVISTA,Monterrey,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
1969,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,San Pedro Garza García,POCO SEGURO,INSEGURO,INSEGURO,HA AUMENTADO?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,No sabe,VA A SEGUIR IGUAL?
1970,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,Escobedo,INSEGURO,INSEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,SI,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
1971,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Monterrey,INSEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
1972,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,Monterrey,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
